Name,Country,Region,Winery,Rating,Price,Year,PriceCategory
Dürnsteiner Kellerberg Riesling Smaragd 2017,Austria,Wachau,F.X. Pichler,4.4,59.73,2017.0,Premium
Châteauneuf-du-Pape La Bernardine Blanc 2016,France,Châteauneuf-du-Pape,M. Chapoutier,3.6,33.46,2016.0,Mid
Les Vieilles Vignes Meursault 2016,France,Meursault,Vincent Girardin,4.0,70.3,2016.0,Premium
Viognier 2019,South Africa,Breede River Valley,Excelsior,3.6,6.95,2019.0,Budget
Magréd Chardonnay 2018,Italy,Südtirol - Alto Adige,Nals Margreid,3.6,14.13,2018.0,Economy
Grauburgunder Herrenstück 2017,Germany,Baden,Weingut Holger Koch,4.0,12.57,2017.0,Economy
Venezia Giulia Picol 2017,Italy,Venezia Giulia,Lis Neris,4.0,25.9,2017.0,Mid
Gloria 2017,Austria,Burgenland,Kollwentz,4.5,79.68,2017.0,Premium
Sciare di Est Grillo 2017,Italy,Terre Siciliane,Antichi Vinai,3.7,7.42,2017.0,Budget
Gaia White Blend 2016,Argentina,Tupungato,Domaine Bousquet,3.7,11.01,2016.0,Economy
Sauvignon Blanc - Riesling 2018,Germany,Rheinhessen,Nico Espenschied,3.9,9.85,2018.0,Budget
Grecanico - Inzolia 2016,Italy,Terre Siciliane,Corte dei Mori,3.7,6.5,2016.0,Budget
Riesling Abtsberg GG 2018,Germany,Mosel,Maximin Grünhaus,4.0,26.66,2018.0,Mid
Pinot Grigio 2019,Italy,Südtirol - Alto Adige,Tramin,3.5,8.9,2019.0,Budget
Chardonnay vom Kalkmergel 2018,Germany,Pfalz,Philipp Kuhn,3.6,14.89,2018.0,Economy
Barón de Chirel Verdejo Viñas Centenarias 2016,Spain,Castilla y León,Marqués de Riscal,4.3,41.61,2016.0,Mid
Chardonnay 2017,United States,Central Coast,Ryder Estate,3.7,15.9,2017.0,Economy
Corton-Charlemagne Grand Cru 2016,France,Corton-Charlemagne Grand Cru,Joseph Drouhin,4.3,195.0,2016.0,Luxury
Just Riesling! 2012,Germany,Nahe,Gut Hermannsberg,3.5,9.21,2012.0,Budget
Gewürztraminer Trentino 2018,Italy,Trentino,Endrizzi,3.8,12.2,2018.0,Economy
Copper Series Wilde Chardonnay 2017,Australia,Hunter Valley,Tempus Two,3.8,16.83,2017.0,Economy
Macabeo 2018,Spain,Castilla,Las Corazas,3.4,6.0,2018.0,Budget
Sauvignon Blanc Bordeaux 2010,France,Bordeaux,Dourthe N°1,3.0,8.95,2010.0,Budget
Sauvignon Blanc - Sémillon 2017,Turkey,Thrace,Suvla,3.2,12.0,2017.0,Economy
Königsschild Riesling 2016,Germany,Nahe,Martin Tesch,3.5,13.9,2016.0,Economy
Reserva Sauvignon Blanc 2019,Chile,Central Valley,Caliterra,3.7,8.32,2019.0,Budget
Grüner Veltliner Weinviertel 2019,Austria,Weinviertel,Ingrid Groiss,4.2,10.95,2019.0,Economy
Vermentino Toscana 2019,Italy,Toscana,Aia Vecchia,3.5,9.95,2019.0,Budget
Sauvignon Blanc 2019,New Zealand,Marlborough,Mount Nelson,4.1,14.99,2019.0,Economy
Nachschlag 2019,Germany,Franken,Stahl,3.8,6.95,2019.0,Budget
Domaine de Fontenille Pouilly-Fumé 2018,France,Pouilly-Fumé,Patrick Maudry,3.9,18.97,2018.0,Economy
Pinot Grigio delle Venezie 2019,Italy,delle Venezie,Corte Giara,3.6,6.43,2019.0,Budget
Oroya Created For Sushi 2018,Spain,Castilla y León,Oroya,3.4,6.9,2018.0,Budget
Hole In The Water Sauvignon Blanc 2019,New Zealand,Marlborough,Konrad,4.1,10.9,2019.0,Economy
Deidesheimer Kieselberg Riesling Trocken 2018,Germany,Pfalz,Dr. Von Bassermann-Jordan,3.7,16.47,2018.0,Economy
Les Deux Tours Sauvignon Blanc 2018,France,Loire Valley,de Ladoucette,4.0,15.3,2018.0,Economy
Grauer Burgunder Trocken 2019,Germany,Baden,Alexander Laible,4.2,11.94,2019.0,Economy
Castello della Sala San Giovanni della Sala Classico Superiore 2019,Italy,Orvieto,Antinori,3.9,14.85,2019.0,Economy
Penon Pinot Bianco 2018,Italy,Südtirol - Alto Adige,Nals Margreid,3.7,12.8,2018.0,Economy
Classic Riesling 2018,France,Alsace,Hugel,3.7,14.75,2018.0,Economy
Efeso Bianco 2017,Italy,Val di Neto,Librandi,3.9,11.4,2017.0,Economy
Laudàri Chardonnay 2018,Italy,Terre Siciliane,Baglio del Cristo di Campobello,4.1,17.23,2018.0,Economy
Nonnenberg Monopol Riesling 2016,Germany,Rheingau,Georg Breuer,4.2,52.0,2016.0,Premium
Roero Arneis 2019,Italy,Roero,Bruno Giacosa,3.8,19.4,2019.0,Economy
Pedra de Guix 2016,Spain,Priorat,Terroir Al Límit Soc. Lda,4.3,60.0,2016.0,Premium
La Falaise Languedoc Blanc 2016,France,Languedoc,Château la Négly,4.1,19.01,2016.0,Economy
Bordeaux Blanc 2016,France,Bordeaux,Château de Ricaud,3.4,7.44,2016.0,Budget
Grauer Burgunder vom Löss 2018,Germany,Pfalz,Philipp Kuhn,4.0,14.89,2018.0,Economy
The Y Series Unwooded Chardonnay 2019,Australia,South Australia,Yalumba,3.2,11.9,2019.0,Economy
Marienburg GG Fahrlay 2016,Germany,Mosel,Clemens Busch,4.3,33.5,2016.0,Mid
Kleine Rust Chenin Blanc - Sauvignon Blanc 2019,South Africa,Stellenbosch,Stellenrust,3.6,5.76,2019.0,Budget
Friulano 2017,Italy,Colli Orientali del Friuli,Torre Rosazza,4.0,13.93,2017.0,Economy
Kalk & Stein 2018,Germany,Pfalz,Weingut Seckinger,3.7,8.8,2018.0,Budget
Reiterpfad G.C 2014,Germany,Pfalz,Dr. Bürklin-Wolf,4.1,54.17,2014.0,Premium
Riesling Alsace 2016,France,Alsace,Kuehn,3.7,8.48,2016.0,Budget
Sauvignon Blanc Reserve 2017,South Africa,Walker Bay,Bouchard Finlayson,3.6,16.95,2017.0,Economy
Chardonnay 2018,South Africa,Stellenbosch,Edgebaston,4.0,12.95,2018.0,Economy
Unplugged Riesling 2018,Germany,Nahe,Martin Tesch,3.7,9.9,2018.0,Budget
Timpa del Principe 2017,Italy,Calabria,Ferrocinto,3.8,7.1,2017.0,Budget
Corton-Charlemagne Grand Cru 2016,France,Corton-Charlemagne Grand Cru,Domaine des Héritiers Louis Jadot,4.4,189.39,2016.0,Luxury
Bertesca Vernaccia di San Gimignano 2017,Italy,Vernaccia di San Gimignano,Castelli del Grevepesa,3.1,7.42,2017.0,Budget
Kirchleiten Sauvignon 2013,Italy,Südtirol - Alto Adige,Tiefenbrunner,3.8,15.59,2013.0,Economy
Chardonnay 2016,United States,Russian River Valley,Gallo Signature Series,4.2,32.01,2016.0,Mid
Sauvignon Blanc Trocken 2019,Germany,Rheinhessen,Hofmann,3.8,10.0,2019.0,Budget
Three Terraces Waihopai Sauvignon Blanc 2017,New Zealand,Marlborough,Marisco Vineyards,3.8,15.95,2017.0,Economy
Réserve Royale Goruli Mtsvane 2015,Georgia,Kakheti,Mukhrani,4.1,29.9,2015.0,Mid
Chardonnay 2019,South Africa,Coastal Region,Protea,3.3,8.95,2019.0,Budget
Lores Chardonnay 2017,Austria,Thermenregion,Johanneshof Reinisch,3.9,24.1,2017.0,Mid
Nosiola 2018,Italy,Vigneti delle Dolomiti,Madonna delle Vittorie,3.7,12.57,2018.0,Economy
Golden Grüner Veltliner Reserve 2018,Austria,Weinviertel,Weingut R&A Pfaffl,4.0,22.5,2018.0,Mid
Chardonnay 2018,France,Pays d'Oc,Croix d'Or,3.8,6.9,2018.0,Budget
Gelber Muskateller Steirische Klassik 2019,Austria,Südsteiermark,Tement,3.7,13.61,2019.0,Economy
Schieferterrassen Reserve Riesling 2017,Austria,Kremstal,Domane Krems,4.2,14.72,2017.0,Economy
Châteauneuf-du-Pape Vieilles Vignes Blanc 2006,France,Châteauneuf-du-Pape,Tardieu-Laurent,4.2,46.95,2006.0,Mid
Reserva Chardonnay 2018,Chile,Casablanca Valley,Caliterra,3.2,6.99,2018.0,Budget
Wehlener Sonnenuhr Riesling Spätlese 2017,Germany,Wehlen,Joh. Jos. Prüm,4.2,30.47,2017.0,Mid
Zeltinger Schlossberg Riesling Auslese** 2007,Germany,Mosel,Markus Molitor,4.5,43.65,2007.0,Mid
Fiano Salento Roycello 2018,Italy,Salento,Tormaresca,3.5,13.25,2018.0,Economy
Chablis Vieilles Vignes 2017,France,Chablis,Château de Chemilly,4.0,16.5,2017.0,Economy
Talò Chardonnay 2018,Italy,Puglia,San Marzano,3.8,6.85,2018.0,Budget
Manzanile Vermentino di Sardegna 2018,Italy,Vermentino di Sardegna,Gabbas,3.6,11.0,2018.0,Economy
Rivaner 2018,Germany,Baden,Karl H. Johner,3.3,7.72,2018.0,Budget
de Vite 2019,Italy,Vigneti delle Dolomiti,J. Hofstätter,4.0,11.16,2019.0,Economy
Sauvignon Blanc 2018,Italy,Südtirol - Alto Adige,Alois Lageder,3.6,12.9,2018.0,Economy
Obere Steilterrassen Atzberg Grüner Veltliner 2016,Austria,Wachau,Gritsch Mauritiushof,4.4,56.05,2016.0,Premium
Sa Fita Blanco 2017,Spain,Plà i Llevant,Es Fangar,4.2,18.9,2017.0,Economy
Sauvignon Blanc 2019,South Africa,Stellenbosch,Stellenrust,3.5,7.29,2019.0,Budget
Supperin Grüner Veltliner 2016,Austria,Wachau,Pichler-Krutzler,3.8,27.5,2016.0,Mid
Bourgogne Hautes-Côtes de Beaune Chardonnay 2018,France,Bourgogne Hautes-Côtes de Beaune,Domaine Henri Delagrange et Fils,3.4,16.83,2018.0,Economy
Chassagne-Montrachet 1er Cru 'Cailleret' 2012,France,Chassagne-Montrachet 1er Cru 'Cailleret',Jean-Marc Morey,4.0,86.62,2012.0,Premium
Donnaluce 2019,Italy,Lazio,Poggio le Volpi,4.1,12.9,2019.0,Economy
Frühlingsplätzchen Riesling GG 2014,Germany,Nahe,Emrich-Schönleber,4.2,38.95,2014.0,Mid
Mâcon-Verzé 2018,France,Mâcon-Villages,Domaine Leflaive,4.1,31.9,2018.0,Mid
Deidesheimer Herrgottsacker Riesling Trocken 2018,Germany,Pfalz,Georg Mosbacher,4.0,10.84,2018.0,Economy
Muti Albariño 2014,Spain,Rías Baixas,Raúl Pérez,3.9,21.9,2014.0,Mid
Perdaudin Roero Arneis 2018,Italy,Roero,Negro Angelo,3.9,15.5,2018.0,Economy
Anteprima Tonda Trebbiano Spoletino 2017,Italy,Spoleto,Antonelli San Marco,4.1,20.9,2017.0,Mid
Riesling Trocken 2016,Germany,Rheingau,Prinz,3.5,8.95,2016.0,Budget
Sémillon - Chardonnay 2018,Australia,South Australia,Rawson's Retreat,3.3,7.9,2018.0,Budget
La Galopine Condrieu 2017,France,Condrieu,Delas,4.1,44.75,2017.0,Mid
Le G de Guiraud Bordeaux Blanc Sec 2019,France,Bordeaux,Château Guiraud,4.0,14.52,2019.0,Economy
Weissenkirchner Achleithen Grüner Veltliner Smaragd 2015,Austria,Wachau,Rudi Pichler,4.2,54.0,2015.0,Premium
Reserve Sauvignon Blanc 2017,South Africa,Cape Point,Cape Point Vineyards,4.1,21.5,2017.0,Mid
Escheburg 2011,Germany,Mosel,Immich-Batterieberg,4.0,16.47,2011.0,Economy
Halgans Riesling Trocken 2016,Germany,Nahe,Emrich-Schönleber,3.7,20.9,2016.0,Mid
Rías Baixas Albariño 2019,Spain,Rías Baixas,Martin Codax,3.7,7.93,2019.0,Budget
Riesling Grand Premier Cru 2018,Luxembourg,Côtes de Grevenmacher,Bernard-Massard,3.7,14.83,2018.0,Economy
Grauburgunder 2018,Germany,Pfalz,Rings,3.6,9.45,2018.0,Budget
Wattle Brae Riesling 2017,Australia,Eden Valley,Langmeil,3.7,14.13,2017.0,Economy
Baron Salvadori Chardonnay Riserva 2016,Italy,Südtirol - Alto Adige,Nals Margreid,4.0,25.9,2016.0,Mid
Les Côtes aux Valets Sancerre Blanc 2015,France,Sancerre,Henri Bourgeois,4.2,50.69,2015.0,Premium
Grüner Veltliner Smaragd Classic 2017,Austria,Wachau,Domäne Wachau,3.9,14.99,2017.0,Economy
Pouilly-Fuissé Vielles Vignes 2016,France,Pouilly-Fuissé,Daniel Pollier,3.7,16.08,2016.0,Economy
Limousin 2018,Spain,Rueda,Marqués de Riscal,4.0,10.45,2018.0,Economy
Terroir Series Torrontes 2019,Argentina,Salta,Kaiken,3.7,8.54,2019.0,Budget
Timeo Grillo 2016,Italy,Terre Siciliane,Baglio di Pianetto,3.8,12.58,2016.0,Economy
Villa Torre Verdicchio dei Castelli di Jesi Classico Superiore 2018,Italy,Verdicchio dei Castelli di Jesi,Tenuta di Tavignano,3.3,8.76,2018.0,Budget
Sauvignon Blanc 2019,New Zealand,Marlborough,Moroki,3.7,8.41,2019.0,Budget
Runcneuv Arneis 2019,Italy,Langhe,Roberto Sarotto,3.8,9.26,2019.0,Budget
Kirchspiel Riesling GG 2018,Germany,Rheinhessen,Wittmann,4.0,46.4,2018.0,Mid
Grand Marrenon Blanc 2018,France,Luberon,Marrenon,3.5,11.5,2018.0,Economy
Ganz Horn Im Sonnenschein GG 2015,Germany,Pfalz,Ökonomierat Rebholz,4.1,49.0,2015.0,Mid
Therese Sauvignon Blanc 2018,Austria,Südsteiermark,Weingut Erich & Walter Polz,3.7,23.8,2018.0,Mid
Nierstein Riesling Trocken 2016,Germany,Rheinhessen,Kühling-Gillot,3.8,19.4,2016.0,Economy
Sauvignon Blanc 2017,South Africa,Coastal Region,Diemersfontein,3.4,7.5,2017.0,Budget
Blanco 2019,Spain,Rioja,Baron de Ley,3.7,5.69,2019.0,Budget
Le Fornaci Lugana 2019,Italy,Lugana,Tommasi,3.9,10.5,2019.0,Economy
Oberhäuser Brücke Riesling Spätlese 2015,Germany,Nahe,Dönnhoff,4.2,25.84,2015.0,Mid
Sauvignon 2018,France,Bordeaux,Le Petit Baigneur,3.4,6.49,2018.0,Budget
Riesling 2015,France,Alsace,Albert Boxler,4.0,25.44,2015.0,Mid
Inzolia Sicilia 2018,Italy,Terre Siciliane,Caleo,3.2,4.9,2018.0,Budget
Riesling 2016,Germany,Pfalz,Friedrich Becker,3.6,10.69,2016.0,Economy
Meursault 'Les Narvaux' 2017,France,Meursault,David Moret-Nomine,4.2,63.9,2017.0,Premium
Premium Chardonnay 2016,New Zealand,Marlborough,Saint Clair,3.7,15.84,2016.0,Economy
Viognier 2016,Australia,Barossa Valley,Langmeil,3.9,11.21,2016.0,Economy
Chardonnay Dei Sassi Cavi 2015,Italy,Collio,Collavini,3.3,9.99,2015.0,Budget
Loiserberg Grüner Veltliner Reserve 2017,Austria,Kamptal,Loimer,3.8,17.55,2017.0,Economy
Buntsandstein Riesling 2017,Germany,Pfalz,Frank John,3.8,17.5,2017.0,Economy
Oktav Grauburgunder 2014,Germany,Baden,Heger,3.7,10.67,2014.0,Economy
Berg Schlossberg GG 2016,Germany,Rheingau,Weingüter Wegeler,3.9,25.0,2016.0,Mid
Sauvignon Blanc 2019,South Africa,Stellenbosch,Anura,3.5,9.99,2019.0,Budget
Luberon 2019,France,Luberon,Famille Perrin,3.6,5.71,2019.0,Budget
Branco (Antão Vaz - Viognier - Verdelho) 2018,Portugal,Alentejano,Ciconia,3.5,4.92,2018.0,Budget
Montserre Chablis 2017,France,Chablis,Château de Béru,4.2,35.0,2017.0,Mid
Wehlener Sonnenuhr Riesling Kabinett 2018,Germany,Wehlen,Schloss Lieser,3.8,15.9,2018.0,Economy
Sauvignon 2019,Italy,Colli Orientali del Friuli,Livio Felluga,3.9,18.9,2019.0,Economy
Sauvignon Blanc Organic 2019,Chile,Casablanca Valley,Veramonte,3.5,8.4,2019.0,Budget
Solaris Chorb Rheinau 2018,Switzerland,Zürich,Staatskellerei Zürich,3.8,22.91,2018.0,Mid
La Froscà Soave Classico 2016,Italy,Soave Classico,Gini,3.8,21.45,2016.0,Mid
Les Grands Calcaires Cotes du Rhône 2017,France,Côtes-du-Rhône,Domaine Santa Duc,3.6,9.2,2017.0,Budget
Chardonnay Puglia 2019,Italy,Puglia,Tormaresca,3.6,7.39,2019.0,Budget
Chardonnay 2018,New Zealand,Marlborough,Nautilus,4.1,19.9,2018.0,Economy
Pittermännchen Riesling GG 2015,Germany,Nahe,Diel,3.8,47.76,2015.0,Mid
Meursault-Charmes Premier Cru 2015,France,Meursault 1er Cru 'Charmes',Domaine Jean Monnier & Fils,4.2,90.2,2015.0,Premium
Chablis Grand Cru 'Les Preuses' 2015,France,Chablis Grand Cru 'Preuses',Domaine William Fèvre,4.1,97.81,2015.0,Premium
Riverbank Riesling 2017,United States,Arroyo Seco,Wente,3.6,12.23,2017.0,Economy
Alte Reben Grüner Veltliner 2016,Austria,Niederösterreich,Kracher & Sohm,4.0,14.65,2016.0,Economy
Chardonnay 2016,New Zealand,Marlborough,Greywacke,3.8,29.5,2016.0,Mid
Bell-Ringer Albariño 2015,New Zealand,Gisborne,Coopers Creek,3.7,12.5,2015.0,Economy
Eylo Rueda 2017,Spain,Castilla y León,Val de Vid,3.5,6.23,2017.0,Budget
Collio Friulano 2018,Italy,Collio,Schiopetto,3.9,17.9,2018.0,Economy
Riesling 2018,Germany,Rheinhessen,Schätzel,3.6,12.1,2018.0,Economy
Vieilles Vignes Chablis 2013,France,Chablis,Roland Lavantureux,3.9,52.0,2013.0,Premium
Vigna Runc Friulano 2016,Italy,Friuli-Venezia Giulia,Il Carpino,3.7,14.73,2016.0,Economy
Les Cépages Sauvignon Blanc 2018,France,Pays d'Oc,Baron Philippe de Rothschild,3.1,7.75,2018.0,Budget
Grillo 2018,Italy,Terre Siciliane,Poggio Graffetta,4.0,9.5,2018.0,Budget
Condrieu 2017,France,Condrieu,Tardieu-Laurent,3.8,47.2,2017.0,Mid
Gianni Masciarelli Trebbiano d'Abruzzo 2018,Italy,Trebbiano d'Abruzzo,Masciarelli,3.7,7.66,2018.0,Budget
Castello della Sala Conte della Vipera 2019,Italy,Umbria,Antinori,4.1,20.85,2019.0,Mid
Viré-Clessé 2015,France,Viré-Clessé,Chanson,3.8,18.08,2015.0,Economy
Danger 380 Volts 2019,Czech Republic,Morava,Milan Nestarec,4.1,21.9,2019.0,Mid
Maximin Grünhäuser Herrenberg Riesling Kabinett 2018,Germany,Mosel,Maximin Grünhaus,4.1,15.5,2018.0,Economy
Trebes Ribolla Gialla 2017,Italy,Collio,Attems,3.9,18.42,2017.0,Economy
Gewürztraminer 2019,Italy,Südtirol - Alto Adige,Terlan (Terlano),3.9,13.54,2019.0,Economy
Nicole Vineyard Viognier Réserve 2019,France,Pays d'Oc,Paul Mas,3.7,8.32,2019.0,Budget
Wallufer Walkenberg Riesling Spätlese Trocken 1998,Germany,Rheingau,J.B. Becker,4.1,25.0,1998.0,Mid
Rosengarten Rüdesheim Monopole GG 2016,Germany,Rheingau,Leitz,4.1,38.99,2016.0,Mid
Langhe Chardonnay 2017,Italy,Langhe,Enzo Boglietti,3.8,15.5,2017.0,Economy
Lahn Sauvignon 2019,Italy,Südtirol - Alto Adige,St. Michael-Eppan,3.9,11.54,2019.0,Economy
Sistina Pecorino Terre di Chieti 2019,Italy,Terre di Chieti,Citra,3.7,6.73,2019.0,Budget
ST23 Weissburgunder Trocken 2016,Germany,Mosel,Weinhaus Gebruder Steffen,3.4,5.63,2016.0,Budget
Weissburgunder Trocken 2017,Germany,Nahe,Dönnhoff,3.6,11.9,2017.0,Economy
Wiener Grüner Veltliner 2017,Austria,Wien,Wieninger,3.3,13.69,2017.0,Economy
Chablis 1er Cru 'Vau Ligneau' 2018,France,Chablis 1er Cru 'Vau Ligneau',Alain Geoffroy,3.6,24.18,2018.0,Mid
Blandine Le Blanc 2018,France,Côtes de Gascogne,Château du Cèdre,3.6,5.9,2018.0,Budget
Chardonnay 2018,Australia,South Australia,Oxford Landing,3.1,8.78,2018.0,Budget
Volz Riesling 2016,Germany,Wiltingen,Van Volxem,4.3,31.19,2016.0,Mid
Cavanera Ripa di Scorciavacca Etna Bianco 2017,Italy,Etna,Firriato,3.8,19.99,2017.0,Economy
Kirchspiel Riesling GG 2017,Germany,Rheinhessen,Wittmann,4.2,51.8,2017.0,Premium
Eight Rows Sauvignon Blanc 2019,South Africa,Durbanville,Diemersdal,4.0,18.5,2019.0,Economy
The Wine Collection Sauvignon 2016,Italy,Südtirol - Alto Adige,St. Michael-Eppan,4.7,142.01,2016.0,Luxury
Petit Chablis 2017,France,Petit Chablis,Château de Chemilly,4.0,13.9,2017.0,Economy
Zeltinger Schlossberg Riesling Trockenbeerenauslese 2006,Germany,Mosel,Markus Molitor,4.6,95.55,2006.0,Premium
Vom Stein Pinot Bianco 2018,Italy,Südtirol - Alto Adige,Castelfeder,3.6,9.25,2018.0,Budget
Wolfer Sonnenlay Riesling Kabinett 2017,Germany,Mosel,Weiser-Künstler,3.9,13.9,2017.0,Economy
Tradition Grüner Veltliner 2017,Austria,Weinviertel,Dürnberg,3.8,11.5,2017.0,Economy
Scheurebe Trocken 2018,Germany,Pfalz,Weingut Weegmüller,3.7,8.4,2018.0,Budget
Circle of Life White 2016,South Africa,Stellenbosch,Waterkloof,4.0,16.9,2016.0,Economy
Les Vieilles Vignes Chablis 2017,France,Chablis,Pascal Bouchard,4.1,23.5,2017.0,Mid
Trittenheimer Apotheke Riesling Kabinett 2017,Germany,Mosel,Ansgar Clüsserath,4.0,14.26,2017.0,Economy
Verdejo 2019,Spain,Rueda,Val de Vid,3.6,9.65,2019.0,Budget
Riesling Berg Roseneck Kabinett Trocken 2012,Germany,Rheingau,Künstler,4.0,17.29,2012.0,Economy
Chardonnay 2018,Italy,Terre Siciliane,Feudi Branciforti dei Bordonaro,3.5,6.9,2018.0,Budget
Extra Blanc 2018,France,Languedoc-Roussillon,Gérard Bertrand,3.4,10.68,2018.0,Economy
Viognier 2016,Germany,Pfalz,Oliver Zeter,3.9,16.58,2016.0,Economy
Kranachberg Sauvignon Blanc 2016,Austria,Südsteiermark,Sattlerhof,4.1,41.58,2016.0,Mid
Als Wär's ein Stück Von Mir 2015,Germany,Rheinhessen,Weingut Gunderloch,3.6,11.4,2015.0,Economy
Chardonnay 2017,United States,California,Stone Barn,3.8,7.6,2017.0,Budget
Collezione Lugana 2018,Italy,Lugana,Bertani,3.4,11.63,2018.0,Economy
Loibner Grüner Veltliner Smaragd Vinothekfüllung 2018,Austria,Wachau,Weingut Knoll,4.2,45.0,2018.0,Mid
Lenz Riesling 2017,Germany,Nahe,Emrich-Schönleber,4.0,12.0,2017.0,Economy
Scharzhofberger P Riesling 2015,Germany,Wiltingen,Van Volxem,4.1,44.95,2015.0,Mid
Iphöfer Kronsberg Scheurebe Alte Reben 2017,Germany,Franken,Hans Wirsching,4.2,20.89,2017.0,Mid
Vom Schiefer Riesling Trocken 2018,Germany,Mosel,Ansgar Clüsserath,3.7,9.26,2018.0,Budget
Piesporter Goldtröpfchen Riesling Feinherb 2016,Germany,Mosel,Ansgar Clüsserath,3.9,15.4,2016.0,Economy
Sulz Morillon 2013,Austria,Südsteiermark,Tement,4.0,34.73,2013.0,Mid
Custoza 2018,Italy,Bianco di Custoza,Menegotti,3.6,7.25,2018.0,Budget
Petit Salé de Villeneuve 2019,France,Provence,Château de Roquefort,3.7,12.9,2019.0,Economy
Schweigen Chardonnay 2017,Germany,Pfalz,Friedrich Becker,4.1,23.06,2017.0,Mid
Private Selection Vinhas Velhas Branco 2016,Portugal,Alentejo,Paulo Laureano,4.0,13.65,2016.0,Economy
Heugumber 2016,Germany,Baden,Ziereisen,3.4,5.5,2016.0,Budget
L'Elfo Pinot Grigio 2019,Italy,Veneto,Sacchetto,3.7,6.19,2019.0,Budget
Inzolia - Chardonnay 2018,Italy,Terre Siciliane,Roccaperciata,3.4,5.68,2018.0,Budget
Gorges 2015,France,Muscadet-Sevre et Maine,Pépière,3.9,17.06,2015.0,Economy
Juffer Riesling Trocken GG 2018,Germany,Mosel,Fritz Haag,3.9,23.9,2018.0,Mid
Zeltinger Sonnenuhr Riesling Auslese*** 2003,Germany,Mosel,Markus Molitor,4.1,49.99,2003.0,Mid
Steirische Klassik Sauvignon Blanc 2014,Austria,Südsteiermark,Gross,3.7,19.39,2014.0,Economy
Varietal Chardonnay 2019,Chile,Central Valley,Santa Helena,3.1,4.89,2019.0,Budget
Sauvignon Blanc 2018,Argentina,Mendoza,Mariflor,4.3,22.42,2018.0,Mid
Chardonnay Toscana Collezione Privata 2018,Italy,Toscana,Isole e Olena,4.4,53.84,2018.0,Premium
Geheimrat J Riesling Spätlese Trocken 2012,Germany,Rheingau,Weingüter Wegeler,4.1,24.9,2012.0,Mid
Gewürztraminer Alsace Grand Cru Hatschbourg 2017,France,Alsace Grand Cru,Wolfberger,4.0,18.42,2017.0,Economy
Héritage Chardonnay 2018,France,Pays d'Oc,Château Guilhem,3.7,6.58,2018.0,Budget
Albarino 2018,Spain,Rías Baixas,Atlantik,3.8,9.9,2018.0,Budget
Chardonnay 2018,Germany,Pfalz,Friedrich Becker,3.6,10.72,2018.0,Economy
Premium Tămâioasă Românească Sec 2018,Romania,Dealu Mare,Budureasca,3.6,10.5,2018.0,Economy
Camino del Pelegrino (Peregrino) Albariño 2018,Spain,Galicia,Pazo Señorans,3.5,14.13,2018.0,Economy
Sauvignon Blanc Rueda 2018,Spain,Rueda,Blume,3.4,5.99,2018.0,Budget
Chardonnay 2017,South Africa,Cape Point,Cape Point Vineyards,3.9,19.9,2017.0,Economy
Isliedh 2018,South Africa,Cape Point,Cape Point Vineyards,4.1,31.95,2018.0,Mid
Pinot Bianco Vial 2018,Italy,Trentino-Alto Adige,Cantina Kaltern,3.7,11.6,2018.0,Economy
Ungstein Scheurebe 2017,Germany,Pfalz,Pfeffingen,3.8,12.95,2017.0,Economy
Mercurey Clos Rochette 2018,France,Mercurey,Faiveley,4.1,20.95,2018.0,Mid
Alleskönner Weiss 2018,Germany,Rheinhessen,Becker Landgraf,3.8,7.7,2018.0,Budget
Pratto Bianco (Pratto Benaco Bresciano) 2018,Italy,Benaco Bresciano,Cà dei Frati,4.1,14.52,2018.0,Economy
Chablis 2018,France,Chablis,Domaine des Héritières,3.6,15.06,2018.0,Economy
Klausen Sauvignon Blanc 2017,Austria,Steiermark,Neumeister,3.9,23.52,2017.0,Mid
Amarela 2018,Italy,Marche,Garofoli,3.3,5.9,2018.0,Budget
Chardonnay 2013,Slovenia,Goriška Brda,Edi Simčič,3.8,20.99,2013.0,Mid
Markus Pfaffmann Grauburgunder Trocken 2019,Germany,Pfalz,Karl Pfaffmann,3.9,6.6,2019.0,Budget
Chardonnay Prestige Cuvée 2018,South Africa,Robertson,Bon Courage,3.8,7.79,2018.0,Budget
Vignes Blanches Pouilly-Fuissé 2016,France,Pouilly-Fuissé,Domaine Saumaize-Michelin,3.9,24.95,2016.0,Mid
Am Schwarzen Herrgott Riesling 2016,Germany,Rheinhessen,Battenfeld Spanier,4.2,41.58,2016.0,Mid
Oppenheim Riesling 2017,Germany,Rheinhessen,Kühling-Gillot,4.0,17.45,2017.0,Economy
L'U Umbria Bianco 2018,Italy,Umbria,Lungarotti,3.8,10.71,2018.0,Economy
Riesling 2018,Hungary,Tolna,Tűzkő,3.4,7.66,2018.0,Budget
Verdejo 2018,Spain,Rueda,Intruso,3.6,8.28,2018.0,Budget
Riesling Heiligenstein 2018,Austria,Kamptal,Weingut Bründlmayer,3.9,22.91,2018.0,Mid
Moscato 2018,Spain,Valencia,The Tapas Wine Collection,3.9,7.53,2018.0,Budget
Chardonnay 2018,South Africa,Stellenbosch,Vergelegen,3.6,13.99,2018.0,Economy
Sauvignon Blanc Trocken 2019,Germany,Pfalz,Knipser,4.0,9.85,2019.0,Budget
