Name,Country,Region,Winery,Rating,Price,Year,PriceCategory
Weissburgunder 2018,Italy,Südtirol - Alto Adige,Colterenzio (Schreckbichl),3.7,9.21,2018.0,Budget
Benedictus Lugana 2018,Italy,Lugana,Le Morette,3.7,9.8,2018.0,Budget
Trebbiano d'Abruzzo 2016,Italy,Trebbiano d'Abruzzo,Villamedoro,3.1,4.7,2016.0,Budget
Arneis Langhe 2018,Italy,Langhe,Ascheri,3.6,9.9,2018.0,Budget
Trebbiano d'Abruzzo 2018,Italy,Trebbiano d'Abruzzo,Caldora,2.9,4.75,2018.0,Budget
Pessac-Léognan Blanc 2015,France,Pessac-Léognan,Château Gazin Rocquencourt,4.0,34.15,2015.0,Mid
Pratum 2015,Italy,Südtirol - Alto Adige,Castel Sallegg,4.0,26.29,2015.0,Mid
Ölberg Riesling 2017,Germany,Rheinhessen,Kühling-Gillot,4.2,35.65,2017.0,Mid
Alt Scheidt Riesling Feinherb 2017,Germany,Mosel,Peter Lauer,3.8,11.95,2017.0,Economy
Steren Weiß- & Grauburgunder Trocken 2018,Germany,Franken,Bürgerspital,3.2,9.39,2018.0,Budget
Neuburger Freyheit 2017,Austria,Bergland,Heinrich,3.7,18.98,2017.0,Economy
Sauvignon Blanc 2018,New Zealand,Marlborough,Main Divide,3.8,16.95,2018.0,Economy
Sauvignon Blanc 2019,South Africa,Cape Point,Cape Point Vineyards,3.5,13.25,2019.0,Economy
Mandorlo White Blend 2018,Italy,Toscana,Montellori,3.7,9.37,2018.0,Budget
Ruppertsberger Riesling 2017,Germany,Pfalz,Fußer,3.7,10.6,2017.0,Economy
Schieferblume Riesling Trocken 2018,Germany,Mosel,Rita & Rudolf Trossen,3.8,13.4,2018.0,Economy
Embruns de Viognier 2019,France,Pays d'Oc,Michel Gassier,3.5,9.68,2019.0,Budget
M Grüner Veltliner Smaragd 2017,Austria,Wachau,F.X. Pichler,4.3,72.5,2017.0,Premium
L'Aubinière Muscadet Sèvre et Maine Sur Lie 2018,France,Muscadet-Sevre et Maine,Terroirs de la Noëlle,3.4,6.5,2018.0,Budget
Chardonnay Felsenstein 2018,Austria,Burgenland,Birgit Braunstein,3.8,11.95,2018.0,Economy
Christoffel Hazenwinkel The White Blend 2018,South Africa,Western Cape,Hazendal,3.4,14.5,2018.0,Economy
Appenheimer Riesling Kalkstein 2018,Germany,Rheinhessen,Knewitz,3.6,14.5,2018.0,Economy
Rotschiefer Riesling 2014,Germany,Mosel,Sorentberg,3.8,14.7,2014.0,Economy
Bordeaux Blanc Sec 2016,France,Bordeaux Sec,Château Lafaurie-Peyraguey,3.9,67.75,2016.0,Premium
Hattenheimer Schützenhaus Riesling Kabinett 2018,Germany,Rheingau,Balthasar Ress,3.8,13.9,2018.0,Economy
Hipping Riesling 2016,Germany,Rheinhessen,Schätzel,3.6,60.96,2016.0,Premium
Obvius Bianco 2017,Italy,Toscana,Salcheto,3.5,13.9,2017.0,Economy
Manzoni Bianco Fontanasanta 2019,Italy,Vigneti delle Dolomiti,Foradori,3.6,18.06,2019.0,Economy
Riesling Charta 2017,Germany,Rheingau,Barth,3.8,13.68,2017.0,Economy
Barrique Sauvignon Blanc 2015,New Zealand,Marlborough,Saint Clair,4.0,18.95,2015.0,Economy
Altos R Blanco 2018,Spain,Rioja,Altos de Rioja,3.6,6.95,2018.0,Budget
Schiefersteil Riesling 2018,Germany,Mosel,Markus Molitor,4.0,12.5,2018.0,Economy
Markus Pfaffmann Sauvignon Blanc Trocken 2019,Germany,Pfalz,Karl Pfaffmann,4.1,7.5,2019.0,Budget
Bürklin Estate Riesling 2018,Germany,Pfalz,Dr. Bürklin-Wolf,3.7,12.5,2018.0,Economy
Chardonnay 2017,United States,Monterey,Craftwork,3.7,14.99,2017.0,Economy
Ritterpfad Riesling Kabinett 2015,Germany,Mosel,Van Volxem,4.0,17.95,2015.0,Economy
Pinot Bianco - Pinot Nero 2017,Italy,Veneto,Biscardo,3.6,7.2,2017.0,Budget
Escherndorfer Lump Riesling S. 2018,Germany,Franken,Horst Sauer,3.9,18.0,2018.0,Economy
Catarratto - Zibibbo 2019,Italy,Terre Siciliane,Vaccaro,4.0,7.31,2019.0,Budget
Bentrock Chardonnay 2013,United States,Sta. Rita Hills,Sandhi,4.1,89.0,2013.0,Premium
Le Naturel Blanco 2019,Spain,Navarra,Aroa,3.9,12.95,2019.0,Economy
Bourgogne Blanc Retour des Flandres 2016,France,Bourgogne,Régnard,3.6,20.65,2016.0,Mid
Sauvignon Blanc 2019,France,Pays d'Oc,Paul Mas,3.7,5.5,2019.0,Budget
Freundstück GG 2017,Germany,Pfalz,Georg Mosbacher,4.1,28.24,2017.0,Mid
Riesling 2019,Germany,Pfalz,Schneider,3.6,10.3,2019.0,Economy
The Vine in Flames Fetească Regală Dry 2018,Romania,Dealu Mare,Budureasca,3.5,9.9,2018.0,Budget
Graacher Himmelreich Riesling Auslese 2016,Germany,Graach,Joh. Jos. Prüm,4.1,32.65,2016.0,Mid
Pinot Grigio 2019,Italy,Venezia Giulia,Jermann,3.8,16.85,2019.0,Economy
